Index number: 2
Stimuli file: Amazon(2).png, ground truth: 0
Response time: 6018.3443, subject result: 0
Index TimeStamp X(pixel) Y(pixel) tracked
1 466707302.012635 583 498 true
2 466707313.704668 586 499 true
3 466707331.795609 583 495 true
4 466707362.59282 583 497 true
5 466707379.515835 581 495 true
6 466707393.81448 565 467 true
7 466707405.479881 564 468 true
8 466707421.841125 563 466 true
9 466707436.979513 563 467 true
10 466707450.073613 563 468 true
11 466707469.921161 563 469 true
12 466707487.321333 564 471 true
13 466707512.979388 566 473 true
14 466707528.571076 569 468 true
15 466707539.295476 567 459 true
16 466707557.006356 569 459 true
17 466707572.270969 571 458 true
18 466707584.27149 570 458 true
19 466707602.251186 570 460 true
20 466707617.215357 566 467 true
21 466707630.010955 566 468 true
22 466707668.166662 563 464 true
23 466707678.223874 563 462 true
24 466707691.907486 564 463 true
25 466707706.801192 563 463 true
26 466707719.341289 563 471 true
27 466707736.968943 562 475 true
28 466707752.334259 560 474 true
29 466707764.59361 555 467 true
30 466707782.910924 553 465 true
31 466707810.153309 551 463 true
32 466707828.032026 551 464 true
33 466707842.148686 554 464 true
34 466707853.989137 551 463 true
35 466707877.346847 552 463 true
36 466707890.270335 555 465 true
37 466707900.871562 562 464 true
38 466707919.008277 562 462 true
39 466707935.261606 559 462 true
40 466707965.732852 559 463 true
41 466707978.499322 555 461 true
42 466707989.093891 553 463 true
43 466708006.650804 554 468 true
44 466708021.739535 556 467 true
45 466708034.449411 556 467 true
46 466708051.929202 555 466 true
47 466708067.030416 554 468 true
48 466708079.530843 547 459 true
49 466708119.489208 539 455 true
50 466708142.280154 495 426 true
51 466708156.670071 402 364 true
52 466708172.842393 370 345 true
53 466708192.505459 389 357 true
54 466708206.046755 352 331 true
55 466708217.611176 338 294 true
56 466708231.651269 344 305 true
57 466708264.31106 334 291 true
58 466708278.475436 334 288 true
59 466708293.258453 342 301 true
60 466708321.617443 331 316 true
61 466708337.778392 332 315 true
62 466708349.011021 335 313 true
63 466708366.577366 329 310 true
64 466708381.790102 335 307 true
65 466708418.133164 331 309 true
66 466708429.095311 327 311 true
67 466708439.062085 325 313 true
68 466708457.614372 323 311 true
69 466708471.69358 324 311 true
70 466708483.623914 315 309 true
71 466708506.297235 318 317 true
72 466708606.499556 288 318 true
73 466708618.762513 349 321 true
74 466708636.666753 438 338 true
75 466708656.33287 420 368 true
76 466708667.837645 458 374 true
77 466708681.267975 467 374 true
78 466708709.97984 492 386 true
79 466708726.691462 510 396 true
80 466708742.06732 523 406 true
81 466708754.338877 528 414 true
82 466708771.960983 528 415 true
83 466708786.712374 527 413 true
84 466708799.114872 526 412 true
85 466708816.584676 529 415 true
86 466708831.475053 529 414 true
87 466708867.920205 536 422 true
88 466708878.919526 538 425 true
89 466708889.047757 540 428 true
90 466708906.523664 541 429 true
91 466708921.724471 542 428 true
92 466708934.238768 542 428 true
93 466708952.068937 541 428 true
94 466708966.901889 541 426 true
95 466708979.433664 542 427 true
96 466709017.767195 543 426 true
97 466709028.036909 542 425 true
98 466709041.525218 543 426 true
99 466709056.656671 542 429 true
100 466709069.13324 540 428 true
101 466709086.674617 539 429 true
102 466709101.904831 537 430 true
103 466709114.146427 537 432 true
104 466709132.053995 537 432 true
105 466709164.262706 532 432 true
106 466709178.994678 534 432 true
107 466709191.427692 532 433 true
108 466709204.876609 532 433 true
109 466709221.669792 533 431 true
110 466709236.641175 530 423 true
111 466709249.366032 540 429 true
112 466709267.003951 569 442 true
113 466709282.050791 672 460 true
114 466709313.355677 722 470 true
115 466709326.971598 739 464 true
116 466709339.3372 773 467 true
117 466709357.28111 766 472 true
118 466709372.000321 768 474 true
119 466709384.331245 764 477 true
120 466709402.298736 757 479 true
121 466709417.146113 751 481 true
122 466709429.52947 748 474 true
123 466709468.066348 734 465 true
124 466709478.269482 727 462 true
125 466709506.208462 696 458 true
126 466709519.079241 613 442 true
127 466709551.41806 610 441 true
128 466709563.944009 579 435 true
129 466709609.642695 577 435 true
130 466709626.298833 566 436 true
131 466709641.447764 552 442 true
132 466709653.70656 554 444 true
133 466709677.056502 554 441 true
134 466709690.447716 553 441 true
135 466709698.842088 554 441 true
136 466709716.583483 555 441 true
137 466709735.01759 556 443 true
138 466709765.498268 554 443 true
139 466709777.845283 554 444 true
140 466709789.142273 554 443 true
141 466709806.916681 551 440 true
142 466709821.398145 551 438 true
143 466709834.08666 562 445 true
144 466709856.81602 573 440 true
145 466709869.078145 634 423 true
146 466709881.460669 722 399 true
147 466709913.903798 758 396 true
148 466709926.733796 848 358 true
149 466709945.4947 873 349 true
150 466709959.86381 895 343 true
151 466709970.759377 879 346 true
152 466709989.376579 881 339 true
153 466710004.018945 887 334 true
154 466710016.889724 884 331 true
155 466710034.241348 889 335 true
156 466710063.407068 892 338 true
157 466710078.866983 893 338 true
158 466710091.539131 898 334 true
159 466710103.948842 910 334 true
160 466710121.689683 912 338 true
161 466710136.673272 913 338 true
162 466710149.21226 913 341 true
163 466710166.999706 904 349 true
164 466710186.858628 903 350 true
165 466710212.599354 900 354 true
166 466710226.735433 893 361 true
167 466710239.204511 854 409 true
168 466710256.84992 772 517 true
169 466710271.90869 711 669 true
170 466710284.152228 718 634 true
171 466710302.998577 694 707 true
172 466710316.527389 681 753 true
173 466710328.861365 670 781 true
174 466710368.059607 669 778 true
175 466710378.062168 669 776 true
176 466710392.005164 667 775 true
177 466710406.273294 667 768 true
178 466710418.635012 670 766 true
179 466710436.616651 680 776 true
180 466710456.951344 684 797 true
181 466710468.160115 681 833 true
182 466710481.46533 677 867 true
183 466710510.352523 675 943 true
184 466710526.896307 671 972 true
185 466710541.707898 671 992 true
186 466710553.707309 676 995 true
187 466710571.626529 678 995 true
188 466710587.035676 681 997 true
189 466710599.438174 680 994 true
190 466710617.207034 677 993 true
191 466710632.239172 676 994 true
192 466710663.594547 672 990 true
193 466710677.420751 671 989 true
194 466710689.574128 668 991 true
195 466710707.541619 664 992 true
196 466710723.829347 661 974 true
197 466710734.534051 690 910 true
198 466710751.761947 714 856 true
199 466710766.70753 731 813 true
200 466710778.990184 742 785 true
201 466710817.543153 860 485 true
202 466710828.022039 873 437 true
203 466710841.450982 871 437 true
204 466710856.311953 872 437 true
205 466710868.802115 872 438 true
206 466710889.363458 879 443 true
207 466710906.740604 880 441 true
208 466710918.067 883 435 true
209 466710931.576949 883 433 true
210 466710964.000103 883 430 true
211 466710979.133221 882 430 true
212 466710991.481622 876 436 true
213 466711003.784805 879 432 true
214 466711021.58751 876 436 true
215 466711053.016678 861 446 true
216 466711069.169582 799 466 true
217 466711112.612309 718 478 true
218 466711142.201368 604 470 true
219 466711158.853068 591 461 true
220 466711172.776368 604 469 true
221 466711184.586025 576 448 true
222 466711206.562474 576 448 true
223 466711219.126984 576 448 true
224 466711229.621128 578 449 true
225 466711262.922864 579 452 true
226 466711274.395182 581 456 true
227 466711291.514885 589 461 true
228 466711306.418855 590 463 true
229 466711319.037739 586 463 true
230 466711336.73558 587 463 true
231 466711357.136853 588 464 true
232 466711368.190548 594 459 true
233 466711384.387284 619 481 true
234 466711411.178588 727 624 true
235 466711428.699437 696 582 true
236 466711445.480691 710 600 true
237 466711455.151183 824 766 true
238 466711473.569477 819 766 true
239 466711500.028158 819 767 true
240 466711518.023113 820 769 true
241 466711565.276722 823 771 true
242 466711579.262719 823 776 true
243 466711590.211828 821 781 true
244 466711608.720005 810 791 true
245 466711623.570156 747 829 true
246 466711635.184512 741 830 true
247 466711654.937183 737 832 true
248 466711668.63744 739 831 true
249 466711683.104478 719 837 true
250 466711712.780646 711 832 true
251 466711723.77969 710 830 true
252 466711742.256241 728 832 true
253 466711756.274973 760 836 true
254 466711768.82478 838 845 true
255 466711788.300311 878 843 true
256 466711804.611897 891 842 true
257 466711816.016803 902 842 true
258 466711833.721024 907 841 true
259 466711861.119041 919 838 true
260 466711878.900662 916 842 true
261 466711893.739716 906 850 true
262 466711905.0675 906 851 true
263 466711921.564124 905 850 true
264 466711939.833722 904 848 true
265 466711956.230475 900 845 true
266 466711969.325684 899 844 true
267 466711981.425243 897 844 true
268 466712012.660219 898 843 true
269 466712026.539687 899 846 true
270 466712039.010153 901 848 true
271 466712060.888951 900 849 true
272 466712077.106215 900 849 true
273 466712088.693106 899 848 true
274 466712103.56129 899 848 true
275 466712118.897199 899 848 true
276 466712129.732012 898 847 true
277 466712164.308758 897 848 true
278 466712193.302202 898 847 true
279 466712208.338223 339 418 true
280 466712218.921695 284 379 true
281 466712236.704981 286 379 true
282 466712251.677473 287 377 true
283 466712263.713226 281 373 true
284 466712281.559208 284 374 true
285 466712310.108229 267 379 true
286 466712326.759097 274 378 true
287 466712342.199315 269 379 true
288 466712354.123268 276 389 true
289 466712372.081881 281 395 true
290 466712387.338172 287 401 true
291 466712399.759257 288 400 true
292 466712417.203539 293 395 true
293 466712432.235676 294 395 true
294 466712463.421272 298 392 true
