Index number: 1
Stimuli file: airbnb.png, ground truth: 0
Response time: 6012.3439, subject result: 0
Index TimeStamp X(pixel) Y(pixel) tracked
1 466699563.09539 660 559 true
2 466699573.66832 642 540 true
3 466699606.541723 625 546 true
4 466699622.390855 633 558 true
5 466699641.376467 639 562 true
6 466699656.185839 641 564 true
7 466699668.371674 640 563 true
8 466699681.992034 648 560 true
9 466699713.698342 653 562 true
10 466699731.974321 655 560 true
11 466699748.088664 655 555 true
12 466699758.390835 656 546 true
13 466699771.880532 656 546 true
14 466699786.922379 651 536 true
15 466699802.646673 649 532 true
16 466699822.045914 631 550 true
17 466699836.886634 616 477 true
18 466699863.179419 600 185 true
19 466699877.504975 509 96 true
20 466699891.971458 497 148 true
21 466699907.239123 492 260 true
22 466699937.072032 442 459 true
23 466699957.899418 441 459 true
24 466699969.602824 441 461 true
25 466699982.152076 443 464 true
26 466700013.415626 448 475 true
27 466700025.36427 449 478 true
28 466700042.732539 450 478 true
29 466700059.448877 458 484 true
30 466700069.422309 451 486 true
31 466700087.05357 451 485 true
32 466700107.6335 448 482 true
33 466700118.699956 447 481 true
34 466700132.081182 446 480 true
35 466700164.098198 432 476 true
36 466700182.418563 424 465 true
37 466700197.322811 285 433 true
38 466700208.693872 221 428 true
39 466700221.875635 189 427 true
40 466700238.051287 192 424 true
41 466700287.295921 176 425 true
42 466700329.484722 246 426 true
43 466700339.913396 -78 395 true
44 466700373.60518 -70 394 true
45 466700385.29 -69 394 true
46 466700791.036201 749 363 true
47 466700809.153497 734 355 true
48 466700823.883527 739 355 true
49 466700835.905408 746 356 true
50 466700854.339515 748 355 true
51 466700868.878682 746 353 true
52 466700881.08144 742 350 true
53 466700915.268414 767 328 true
54 466700926.277722 765 339 true
55 466700943.766668 767 337 true
56 466700958.591297 766 337 true
57 466700970.976318 767 351 true
58 466700989.976911 768 370 true
59 466701003.843618 768 377 true
60 466701015.879647 767 382 true
61 466701032.157111 763 380 true
62 466701062.504352 749 386 true
63 466701079.361341 687 393 true
64 466701093.392002 649 397 true
65 466701105.667443 617 401 true
66 466701123.841054 604 401 true
67 466701138.455124 583 403 true
68 466701149.272736 494 411 true
69 466701167.082099 493 410 true
70 466701187.319973 492 405 true
71 466701213.162511 492 403 true
72 466701227.176804 491 403 true
73 466701239.674179 488 404 true
74 466701257.304607 488 403 true
75 466701272.441608 486 402 true
76 466701284.703734 482 404 true
77 466701302.730314 482 406 true
78 466701317.560214 484 406 true
79 466701330.018196 713 458 true
80 466701368.475456 722 460 true
81 466701378.741008 735 463 true
82 466701406.790678 734 461 true
83 466701419.949971 736 455 true
84 466701437.932997 739 450 true
85 466701457.727003 743 445 true
86 466701468.981271 747 441 true
87 466701482.33004 744 441 true
88 466701510.711501 755 444 true
89 466701527.293014 748 441 true
90 466701542.175069 783 446 true
91 466701554.520696 792 445 true
92 466701577.992147 784 444 true
93 466701590.043435 811 444 true
94 466701599.592418 809 443 true
95 466701617.280272 808 443 true
96 466701632.748787 807 444 true
97 466701668.609143 793 452 true
98 466701679.643696 793 454 true
99 466701689.268414 765 461 true
100 466701707.208441 758 469 true
101 466701723.543885 467 697 true
102 466701734.611728 455 704 true
103 466701752.883545 447 711 true
104 466701767.822471 449 710 true
105 466701780.059073 431 731 true
106 466701818.959091 433 737 true
107 466701828.761356 433 740 true
108 466701842.355362 435 739 true
109 466701857.305384 439 739 true
110 466701869.148331 439 738 true
111 466701887.31695 439 735 true
112 466701908.195935 438 732 true
113 466701918.691467 434 724 true
114 466701932.30295 432 716 true
115 466701960.96377 432 712 true
116 466701979.604275 432 713 true
117 466701992.805458 433 714 true
118 466702004.906404 434 722 true
119 466702022.398123 434 721 true
120 466702037.461054 437 724 true
121 466702049.495419 435 723 true
122 466702067.465962 436 722 true
123 466702082.955005 433 721 true
124 466702113.861519 435 721 true
125 466702127.900225 429 717 true
126 466702139.847759 426 713 true
127 466702157.876281 432 716 true
128 466702173.22412 433 714 true
129 466702185.004926 433 716 true
130 466702203.362465 436 718 true
131 466702218.208178 433 716 true
132 466702231.98084 437 719 true
133 466702264.576271 444 716 true
134 466702277.339135 442 714 true
135 466702293.718688 512 636 true
136 466702308.349403 559 584 true
137 466702320.590999 614 529 true
138 466702337.32204 621 519 true
139 466702352.650459 633 504 true
140 466702364.436536 630 503 true
141 466702383.056512 629 502 true
142 466702411.013802 629 501 true
143 466702428.504135 628 500 true
144 466702443.207255 628 496 true
145 466702455.03328 626 493 true
146 466702473.654644 626 492 true
147 466702488.12723 624 484 true
148 466702500.371601 626 489 true
149 466702518.323833 628 494 true
150 466702532.323701 629 495 true
151 466702563.266556 627 490 true
152 466702578.299803 627 495 true
153 466702589.521058 626 497 true
154 466702607.549303 625 497 true
155 466702622.463816 624 498 true
156 466702634.64438 625 499 true
157 466702768.920766 621 513 true
158 466702787.072739 529 729 true
159 466702807.006009 519 749 true
160 466702818.59401 518 756 true
161 466702835.275394 524 756 true
162 466702861.574837 527 755 true
163 466702879.072106 531 760 true
164 466702894.120056 541 759 true
165 466702905.987416 537 761 true
166 466702922.450749 538 764 true
167 466702937.579151 531 759 true
168 466702950.016881 530 758 true
169 466702968.476787 528 756 true
170 466702983.762762 528 756 true
171 466703013.346827 527 753 true
172 466703027.365836 527 756 true
173 466703039.145532 529 757 true
174 466703057.173777 528 755 true
175 466703078.238633 537 749 true
176 466703089.91402 551 746 true
177 466703108.592531 660 710 true
178 466703122.015925 967 607 true
179 466703133.955691 961 610 true
180 466703164.732929 982 604 true
181 466703175.555258 1002 595 true
182 466703194.23793 1009 588 true
183 466703208.91747 1029 575 true
184 466703220.502697 1020 575 true
185 466703239.261382 1020 577 true
186 466703253.995018 1012 582 true
187 466703265.42933 1009 585 true
188 466703284.156944 1003 590 true
189 466703310.321285 1015 606 true
190 466703328.073778 1005 606 true
191 466703342.322211 1133 711 true
192 466703354.441743 1160 734 true
193 466703372.586504 1148 728 true
194 466703387.265766 1158 740 true
195 466703399.671039 1169 752 true
196 466703417.995565 1165 754 true
197 466703432.93449 1160 756 true
198 466703464.322601 1159 753 true
199 466703477.849749 1156 751 true
200 466703489.302648 1139 755 true
201 466703507.157507 1152 756 true
202 466703521.948014 1157 758 true
203 466703534.31417 1156 754 true
204 466703552.349073 1124 746 true
205 466703567.217534 1075 734 true
206 466703579.501853 960 668 true
207 466703618.610211 900 635 true
208 466703628.841364 838 596 true
209 466703642.349093 736 532 true
210 466703657.0106 560 416 true
211 466703669.331815 558 410 true
212 466703690.537321 556 409 true
213 466703707.903094 556 426 true
214 466703718.752609 559 431 true
215 466703732.164352 560 434 true
216 466703763.379077 563 438 true
217 466703780.581728 564 443 true
218 466703793.992638 568 454 true
219 466703805.807844 566 452 true
220 466703826.490418 562 451 true
221 466704020.376583 555 454 true
222 466704032.817642 558 426 true
223 466704066.802934 560 424 true
224 466704078.359032 553 424 true
225 466704091.961915 547 424 true
226 466704106.787931 546 425 true
227 466704119.28919 544 430 true
228 466704137.128236 543 432 true
229 466704157.171641 543 431 true
230 466704168.653391 541 433 true
231 466704181.852909 542 433 true
232 466704212.807694 543 434 true
233 466704229.507387 544 434 true
234 466704243.754988 544 435 true
235 466704255.777425 542 438 true
236 466704467.213012 552 422 true
237 466704481.442581 539 433 true
238 466704517.366743 558 415 true
239 466704528.447625 555 412 true
240 466704544.324221 557 405 true
241 466704559.161334 561 398 true
242 466704570.911069 561 400 true
243 466704590.597993 560 398 true
244 466704607.5862 560 401 true
245 466704618.627411 560 400 true
246 466704631.864103 563 393 true
247 466704660.526033 564 391 true
248 466704677.581653 566 398 true
249 466704692.358012 565 397 true
250 466704704.513331 564 398 true
251 466704724.898791 563 398 true
252 466704739.603854 563 398 true
253 466704750.832599 565 397 true
254 466704768.721858 566 391 true
255 466704783.543158 567 387 true
256 466704814.518194 571 390 true
257 466704829.184973 581 392 true
258 466704842.046597 579 398 true
259 466704859.295854 596 397 true
260 466704875.065089 662 391 true
261 466704886.378169 694 392 true
262 466704902.177366 704 393 true
263 466704917.158458 709 394 true
264 466704929.529331 733 389 true
265 466704968.361104 733 390 true
266 466704978.955673 732 386 true
267 466704991.942967 732 386 true
268 466705006.904641 729 394 true
269 466705019.255817 729 393 true
270 466705037.137585 731 393 true
271 466705052.296503 731 393 true
272 466705064.517292 731 392 true
273 466705082.702833 730 389 true
274 466705110.850709 726 386 true
275 466705127.672466 723 384 true
276 466705142.620546 706 383 true
277 466705154.72482 672 386 true
278 466705173.896857 682 386 true
279 466705189.736556 668 386 true
280 466705200.78498 668 383 true
281 466705220.926868 668 382 true
282 466705235.907128 669 380 true
283 466705263.011915 668 383 true
284 466705276.868357 667 384 true
285 466705289.326062 667 386 true
286 466705307.12405 667 386 true
287 466705327.839637 668 385 true
288 466705338.957416 666 383 true
289 466705352.006851 665 382 true
290 466705366.95077 653 367 true
291 466705379.592957 458 196 true
292 466705412.859183 441 180 true
293 466705424.340933 436 175 true
294 466705442.525641 418 158 true
295 466705456.898635 405 141 true
296 466705473.626347 384 120 true
297 466705492.173085 386 123 true
298 466705506.983289 399 129 true
299 466705518.834281 406 144 true
300 466705531.828788 402 145 true
